Bantval,Rajesh Naik
Puttur,Asha Thimmappa
Sullia (SC),Bhagirathi Murulya
Madikeri,M P Appachu Ranjan
Virajpet,K G Bopaiah
Piriyapatna,C. H. Vijayashankar
Krishnarajanagara,Venkatesh Hosalli
Hunsur,Devarahalli Somashekhar
Nanjangud (SC),B. Harshavardhan
Chamundeshwari,Kaveesh Gowda
Chamaraja,L. Nagendra
Narasimharaja,Sandesh Swami
Varuna,V. Somanna
T. Narasipur (SC),Dr. Revanna
Hanur,Dr. Preetham Nagappa
Kollegal (SC),N. Mahesh
Chamarajanagar,V. Somanna
Gundlupet,C.S. Niranjan Kumar
Devar Hippargi,Somanagouda Patil (Sasanur)
Basavana Bagevadi,SK Bellubbi
Indi,Kasagouda Biradar
Gurmitkal,Kum. Lalitha Anapur
Bidar,Eshwar Singh Thakur
Bhalki,Prakash Khandre
Gangawati,Paranna Munavalli
Kalghatgi,Nagaraj Chabbi
Hangal,Shivaraj Sajjanar
Haveri (SC),Gavisiddappa Dyamannavar
Harapanahalli,Karunakara Reddy
Davanagere North,Lokikere Nagaraj
Davanagere South,Ajay Kumar
Mayakonda (SC),Basavaraja Naik
Channagiri,Shiv Kumar
Byndoor,Gururaj Gantihole
Mudigere (SC),Deepak Doddalah
Gubbi,SD Dileep Kumar
Sidlaghatta,Ramachandra Gowda
Kolar Gold Field (SC),Ashwini Sampangi
Shravanabelagola,Chidananda
Arsikere,GV Basavaraju
Heggadadevankote (ST),Krishna Naik
